id,Vendidos,Precio,Calificación promedio,Número de resenas,Calf_int_1,Calf_int_2,Calf_int_3,Calf_int_4,Calf_int_5,Carac_1,CalfC_1,Carac_2,CalfC_2,Carac_3,CalfC_3,Carac_4,CalfC_4,Carac_5,CalfC_5
CDBDVLCC221,500,119.58,4.8,32,84.38%;,12.5%;,3.12%;,0%;,0%;,Relación precio-calidad,4.8,Calidad de la iluminación,4.9,,,,,,
1PVTLFSADAC,1000,126.71,4.4,131,70.99%;,13.74%;,6.87%;,4.58%;,3.82%;,Relación precio-calidad,4.2,Calidad de los materiales,4.1,Calidad de las terminaciones,4.1,,,,
CBCA2AHJ2P,100,502.55,4.9,30,96.67%;,0%;,3.33%;,0%;,0%;,Relación precio-calidad,4.8,Instalación,5,Calidad de los materiales,4.9,Resistencia,4.9,,
L11FWBFD,1000,137.61,4.8,130,86.92%;,6.92%;,4.62%;,0%;,1.54%;,,,,,,,,,,
DDCAB,100,134.Nuevo  |  +100 vendidos,4.2,29,62.07%;,17.24%;,6.9%;,10.34%;,3.45%;,Relación precio-calidad,4.4,Facilidad de uso,3.7,Calidad de los materiales,4.2,Duración de la batería,4.4,,
CBPVTP1,10mil,298.Nuevo  |  +10mil vendidos,4.8,"2,593",85.54%;,11.07%;,2.12%;,0.5%;,0.77%;,Relación precio-calidad,4.7,Calidad de los materiales,4.6,Instalación,4.9,Resistencia,4.7,,
LDLPÁF1LN,1000,179.99,4.9,106,92.45%;,5.66%;,0%;,0.94%;,0.94%;,,,,,,,,,,
CDTSÁMT,25,343.17,4.8,12,83.33%;,8.33%;,8.33%;,0%;,0%;,Relación precio-calidad,4.6,Calidad de la imagen,4.5,Calidad de las terminaciones,4.6,,,,
PAMDHD2M1T,5mil,88.80,4.8,220,87.27%;,10.45%;,1.82%;,0%;,0.45%;,,,,,,,,,,
6BDAPGR1P,100,293.58,4.8,20,90%;,5%;,0%;,0%;,5%;,,,,,,,,,,
1P3CMMDDP,500,121.05,4.8,90,86.67%;,8.89%;,2.22%;,0%;,2.22%;,Relación precio-calidad,4.8,Instalación,4.9,Calidad de las terminaciones,4.8,,,,
CAPDJCCR,100,436.21,4.3,32,71.88%;,9.38%;,6.25%;,3.12%;,9.38%;,,,,,,,,,,
CMDISX7B,1000,149.Nuevo  |  +1000 vendidos,4.9,474,89.24%;,9.28%;,0.84%;,0%;,0.63%;,Relación precio-calidad,4.8,Calidad de las terminaciones,4.8,Calidad de la imagen,4.8,,,,
SX9CBMDMN,1000,241.Nuevo  |  +1000 vendidos,4.8,879,88.51%;,8.53%;,2.05%;,0.34%;,0.57%;,Relación precio-calidad,4.7,Calidad de las terminaciones,4.6,Calidad de la imagen,4.7,,,,
CDDV5NEP,1000,132.42,4.7,151,85.43%;,8.61%;,2.65%;,0%;,3.31%;,Relación precio-calidad,4.7,Calidad de la imagen,4.7,Calidad de las terminaciones,4.6,,,,
GDLSNI22F,1000,259.65,4.5,197,76.14%;,11.17%;,6.6%;,2.03%;,4.06%;,,,,,,,,,,
CBEMPS,1000,129.82,4.1,94,55.32%;,21.28%;,8.51%;,6.38%;,8.51%;,Relación precio-calidad,4.1,Instalación,4.5,Calidad de los materiales,3.9,Resistencia,4,,
CDCZI2P,500,169.81,4.7,29,79.31%;,13.79%;,3.45%;,0%;,3.45%;,,,,,,,,,,
6BDHDDP9M,500,76.51,4.6,60,78.33%;,11.67%;,6.67%;,1.67%;,1.67%;,,,,,,,,,,
1EAPCD,1000,108.01,4.6,52,73.08%;,15.38%;,7.69%;,1.92%;,1.92%;,,,,,,,,,,
FDDCCDNPEH,100,269.69,4.6,16,75%;,12.5%;,12.5%;,0%;,0%;,,,,,,,,,,
1MTCDRCV,100,787.84,3.9,17,47.06%;,17.65%;,17.65%;,11.76%;,5.88%;,Relación precio-calidad,4.4,Calidad de la imagen,4.1,Calidad de las terminaciones,4,,,,
RDDBBNYRF,5mil,181.24,4.1,657,55.56%;,17.81%;,13.85%;,6.39%;,6.39%;,Relación precio-calidad,4.4,Facilidad de uso,4.2,Calidad de los materiales,4.2,Duración de la batería,3.9,,
RDPCGMLRDP,1000,135.54,4.6,178,76.4%;,17.42%;,3.37%;,0%;,2.81%;,Relación precio-calidad,4.6,Calidad de los materiales,4.6,,,,,,
6GFCDEA,500,219.Nuevo  |  +500 vendidos,4.8,42,85.71%;,9.52%;,4.76%;,0%;,0%;,,,,,,,,,,
CPBEE,1000,599.Nuevo  |  +1000 vendidos,4.8,320,82.5%;,12.19%;,4.06%;,0.31%;,0.94%;,,,,,,,,,,
CN2*CCA,5mil,177.Nuevo  |  +5mil vendidos,4.2,368,58.7%;,21.2%;,10.6%;,3.8%;,5.71%;,Relación precio-calidad,4.2,Instalación,4.6,Calidad de los materiales,4,Resistencia,4.1,,
LNE5PDDPD,1000,131.38,4.8,240,87.08%;,9.17%;,1.67%;,0.83%;,1.25%;,Relación precio-calidad,4.6,Calidad de las terminaciones,4.6,Calidad de la imagen,4.7,,,,
GDLS21FEJ8M,500,280.42,4.5,61,80.33%;,9.84%;,1.64%;,0%;,8.2%;,Relación precio-calidad,4.5,Calidad de la iluminación,4.1,,,,,,
QDIDCCCDR,500,186.77,4.5,111,68.47%;,18.92%;,8.11%;,0.9%;,3.6%;,Relación precio-calidad,4.4,Calidad de los materiales,4.4,Calidad de las terminaciones,4.3,,,,
CFRADBF4,1000,127.23,4.7,67,82.09%;,8.96%;,2.99%;,4.48%;,1.49%;,,,,,,,,,,
7P1TTHAPD,500,208.93,4.7,66,86.36%;,7.58%;,1.52%;,1.52%;,3.03%;,,,,,,,,,,
P5DDDKPDDH,1000,149.65,4.8,152,88.16%;,7.24%;,1.97%;,1.32%;,1.32%;,Calidad de la imagen,4.7,Relación precio-calidad,4.7,Calidad de las terminaciones,4.7,,,,
SL2L2MSE2,1000,173.10,4.5,170,74.71%;,14.12%;,4.71%;,1.76%;,4.71%;,,,,,,,,,,
PAGHDU2M1U,100,269.Nuevo  |  +100 vendidos,4.3,6,66.67%;,0%;,33.33%;,0%;,0%;,,,,,,,,,,
CB2AX2DLE2P,10mil,498.Nuevo  |  +10mil vendidos,4.7,"2,212",80.38%;,12.34%;,3.71%;,1.22%;,2.35%;,Relación precio-calidad,4.6,Resistencia,4.6,Calidad de los materiales,4.6,Instalación,4.8,,
