id,Vendidos,Precio,Calificación promedio,Número de resenas,Calf_int_1,Calf_int_2,Calf_int_3,Calf_int_4,Calf_int_5,Carac_1,CalfC_1,Carac_2,CalfC_2,Carac_3,CalfC_3,Carac_4,CalfC_4,Carac_5,CalfC_5
ÁMTPCCMM,25,329.70,4.7,6,83.33%;,0%;,16.67%;,0%;,0%;,Relación precio-calidad,4.4,Calidad de las terminaciones,4.2,Calidad de la imagen,4.5,,,,
SDLL2LMLDPA2,1000,65.55,4.5,109,76.15%;,11.93%;,5.5%;,1.83%;,4.59%;,,,,,,,,,,
CBPV2PHS,5mil,283.10,4.8,995,87.34%;,8.64%;,2.41%;,0.6%;,1.01%;,Relación precio-calidad,4.8,Calidad de los materiales,4.7,Instalación,4.9,Resistencia,4.7,,
P3D14CCDC,500,718.20,4.9,62,91.94%;,4.84%;,0%;,3.23%;,0%;,,,,,,,,,,
VP4X2VPE,1000,124.Nuevo  |  +1000 vendidos,4.4,80,66.25%;,17.5%;,6.25%;,7.5%;,2.5%;,Instalación,4.3,Calidad de las terminaciones,4.2,Relación precio-calidad,4.3,,,,
CDCDÁ5P,25,521.55,5.0,2,100%;,0%;,0%;,0%;,0%;,,,,,,,,,,
RJDNLESN,500,295.63,4.9,41,87.8%;,9.76%;,2.44%;,0%;,0%;,Calidad de la iluminación,4.7,Relación precio-calidad,4.7,,,,,,
COATDTC1*2C,10mil,191.62,4.7,729,83.13%;,10.01%;,2.88%;,1.51%;,2.47%;,Calidad de los materiales,4.6,Resistencia,4.7,Relación precio-calidad,4.6,Instalación,4.8,,
CBPV12HS,1000,344.64,4.8,329,89.06%;,8.21%;,0.91%;,0.91%;,0.91%;,Relación precio-calidad,4.8,Calidad de los materiales,4.8,Resistencia,4.8,Instalación,4.9,,
CDVCLLSYD,1000,156.42,4.7,104,81.73%;,9.62%;,5.77%;,0%;,2.88%;,,,,,,,,,,
CM/CT1*2C,5mil,131.21,4.6,496,77.62%;,13.91%;,4.84%;,2.02%;,1.61%;,Relación precio-calidad,4.6,Calidad de los materiales,4.5,Instalación,4.7,Resistencia,4.4,,
5MNDKDDDDD,100,98.60,4.9,27,88.89%;,7.41%;,3.7%;,0%;,0%;,Relación precio-calidad,5,Calidad de la imagen,4.9,Calidad de las terminaciones,4.9,,,,
LGDL2FEI1,1000,397.44,4.8,117,92.31%;,4.27%;,0%;,1.71%;,1.71%;,,,,,,,,,,
HADPTD1TP,500,219.Nuevo  |  +500 vendidos,4.8,97,87.63%;,9.28%;,2.06%;,0%;,1.03%;,,,,,,,,,,
75HDDP,50,298.74,5.0,5,100%;,0%;,0%;,0%;,0%;,Relación precio-calidad,5,Instalación,4.7,Calidad de las terminaciones,4.7,,,,
2PMPDDPA3,100,298.50,4.8,47,91.49%;,2.13%;,4.26%;,0%;,2.13%;,Relación precio-calidad,4.8,Calidad de las terminaciones,4.9,Instalación,4.9,,,,
CDLDP,50,145.Nuevo  |  +50 vendidos,4.7,3,66.67%;,33.33%;,0%;,0%;,0%;,Relación precio-calidad,4.6,Calidad de la imagen,4.6,Calidad de las terminaciones,4,,,,
MLSN1MIM,1000,199.66,4.7,53,77.36%;,18.87%;,3.77%;,0%;,0%;,Relación precio-calidad,4.5,Calidad de la iluminación,4.6,,,,,,
JDVADCDSD2O9P,500,202.70,4.9,88,92.05%;,6.82%;,1.14%;,0%;,0%;,Calidad de los materiales,4.9,Relación precio-calidad,4.9,Calidad de las terminaciones,4.8,,,,
P3D5BPCA2,500,"1,066.Nuevo  |  +500 vendidos",5.0,44,100%;,0%;,0%;,0%;,0%;,,,,,,,,,,
1PSPDVPD,100,209.79,4.8,14,85.71%;,7.14%;,7.14%;,0%;,0%;,Relación precio-calidad,4.5,Calidad de los materiales,4.7,Calidad de las terminaciones,4.7,,,,
GDL2FVD1PE,1000,206.51,4.9,120,89.17%;,8.33%;,1.67%;,0%;,0.83%;,,,,,,,,,,
2VLEDLCEFL,1000,162.71,4.6,66,77.27%;,15.15%;,1.52%;,4.55%;,1.52%;,Relación precio-calidad,4.5,Calidad de los materiales,4.2,Calidad de las terminaciones,4.1,,,,
2PTDEDHA,50,118.47,5.0,2,100%;,0%;,0%;,0%;,0%;,,,,,,,,,,
RAFGFCG2,1000,79.80,4.5,62,77.42%;,8.06%;,8.06%;,1.61%;,4.84%;,,,,,,,,,,
CDDICGDP1P,500,153.37,4.7,63,80.95%;,12.7%;,1.59%;,0%;,4.76%;,Relación precio-calidad,4.7,Calidad de los materiales,4.5,Facilidad al limpiar,4.5,Practicidad,4.6,,
JCDTLTS2P,1000,297.30,4.4,312,66.03%;,18.91%;,9.29%;,3.21%;,2.56%;,Relación precio-calidad,4.5,Instalación,4.8,Resistencia,4.2,Calidad de los materiales,4.3,,
CDVD6MC6TDMPC,100,112.67,4.8,20,90%;,5%;,0%;,0%;,5%;,,,,,,,,,,
CDCMCA6P,5,569.05,4.5,2,50%;,50%;,0%;,0%;,0%;,Relación precio-calidad,4.6,Calidad de la imagen,4,Calidad de las terminaciones,4.6,,,,
GDLDEV5F1M,500,567.77,4.6,68,73.53%;,20.59%;,2.94%;,1.47%;,1.47%;,Relación precio-calidad,4.7,Calidad de la iluminación,4.6,,,,,,
LFEBPVPE,500,186.60,4.6,36,75%;,8.33%;,13.89%;,2.78%;,0%;,,,,,,,,,,
9PDFA(MV,1000,162.19,4.6,73,76.71%;,17.81%;,1.37%;,0%;,4.11%;,,,,,,,,,,
3PPVVVD4,50,99.Nuevo  |  +50 vendidos,4.3,6,83.33%;,0%;,0%;,0%;,16.67%;,Relación precio-calidad,5,Instalación,4.8,Calidad de las terminaciones,5,,,,
HB7BDG,100,65.Nuevo  |  +100 vendidos,4.7,29,86.21%;,6.9%;,0%;,0%;,6.9%;,,,,,,,,,,
2SDLPAABR,50,259.Nuevo  |  +50 vendidos,4.8,24,75%;,25%;,0%;,0%;,0%;,,,,,,,,,,
MPT3,100,379.Nuevo  |  +100 vendidos,4.7,43,86.05%;,9.3%;,0%;,0%;,4.65%;,Relación precio-calidad,4.6,Calidad de la imagen,4.6,Calidad de las terminaciones,4.5,,,,
GDLS21LFEJ,100,236.28,4.3,17,64.71%;,11.76%;,17.65%;,0%;,5.88%;,Relación precio-calidad,4.2,Calidad de la iluminación,3.9,,,,,,
C1BTLE2,500,499.50,4.4,89,68.54%;,19.1%;,5.62%;,2.25%;,4.49%;,Calidad de los materiales,4.3,Instalación,4.8,Relación precio-calidad,4.5,Resistencia,4.3,,
RDDLCPYR,100,855.Nuevo  |  +100 vendidos,4.2,86,63.95%;,17.44%;,4.65%;,4.65%;,9.3%;,Relación precio-calidad,4,Facilidad de uso,4.3,Calidad de los materiales,3.8,Duración de la batería,4,,
RBEO2QDDSV,1000,394.67,4.5,117,76.07%;,11.11%;,2.56%;,5.13%;,5.13%;,,,,,,,,,,
PPVPDP6,100,148.Nuevo  |  +100 vendidos,4.7,24,87.5%;,4.17%;,4.17%;,0%;,4.17%;,Relación precio-calidad,4.8,Instalación,4.8,Calidad de las terminaciones,4.8,,,,
GDL2FVD7PE,1000,192.49,4.9,61,91.8%;,4.92%;,3.28%;,0%;,0%;,,,,,,,,,,
PDD5DPCD,1000,248.57,4.9,129,91.47%;,6.2%;,1.55%;,0.78%;,0%;,Relación precio-calidad,4.8,Calidad de la imagen,4.6,Calidad de las terminaciones,4.7,,,,
CLN3D38M2,5mil,148.Nuevo  |  +5mil vendidos,4.8,339,84.66%;,11.21%;,2.65%;,0.88%;,0.59%;,,,,,,,,,,
1PVTLFSAVD,1000,122.18,4.4,149,70.47%;,12.08%;,8.72%;,5.37%;,3.36%;,Calidad de los materiales,4.1,Relación precio-calidad,4.3,Calidad de las terminaciones,4,,,,
ALLC,1000,120.Nuevo  |  +1000 vendidos,4.9,97,92.78%;,4.12%;,1.03%;,0%;,2.06%;,,,,,,,,,,
VDACPDCDS1P,1000,249.50,4.7,279,85.3%;,8.6%;,3.58%;,0.72%;,1.79%;,Calidad de los materiales,4.7,Calidad de las terminaciones,4.7,Relación precio-calidad,4.7,,,,
CDTWD6P,100,569.04,4.9,25,92%;,4%;,4%;,0%;,0%;,Relación precio-calidad,4.9,Calidad de la imagen,4.8,Calidad de las terminaciones,4.9,,,,
GD2LLAPD2MA1P,100,153.54,4.8,18,88.89%;,5.56%;,5.56%;,0%;,0%;,Relación precio-calidad,4.8,Calidad de la iluminación,4.8,,,,,,
5TRAF1DFB,100,220.70,4.6,14,78.57%;,14.29%;,0%;,0%;,7.14%;,,,,,,,,,,
MDSPVJDR,100,155.79,4.6,38,81.58%;,10.53%;,2.63%;,0%;,5.26%;,,,,,,,,,,
P-PFPPAH,1000,122.04,4.6,50,78%;,8%;,8%;,4%;,2%;,,,,,,,,,,
AÁPDFFPP,1000,164.62,4.2,77,64.94%;,12.99%;,7.79%;,2.6%;,11.69%;,Relación precio-calidad,4.4,Calidad de la imagen,4.3,Calidad de las terminaciones,4.2,,,,
CBD1DL2P,1000,221.57,4.7,137,83.94%;,10.22%;,3.65%;,0.73%;,1.46%;,Relación precio-calidad,4.8,Calidad de los materiales,4.7,Instalación,4.9,Resistencia,4.7,,
GDL1FLIPE,1000,559.Nuevo  |  +1000 vendidos,4.9,103,90.29%;,9.71%;,0%;,0%;,0%;,,,,,,,,,,
CMCBPNCR,100,169.40,4.8,21,90.48%;,4.76%;,0%;,0%;,4.76%;,,,,,,,,,,
CTPSH12P,100,315.73,5.0,8,100%;,0%;,0%;,0%;,0%;,Relación precio-calidad,4.5,Calidad de los materiales,4.2,Resistencia,3.8,Instalación,4.7,,
2MDBPAE,1000,148.87,4.7,125,83.2%;,10.4%;,4%;,0.8%;,1.6%;,,,,,,,,,,
CDDÁMTD,5,343.17,4.8,4,75%;,25%;,0%;,0%;,0%;,Relación precio-calidad,5,Calidad de la imagen,4,Calidad de las terminaciones,4.6,,,,
DLVLSLE,500,379.62,4.8,61,88.52%;,9.84%;,0%;,0%;,1.64%;,Calidad de la iluminación,4.9,Relación precio-calidad,4.8,,,,,,
6BHM7MDHPP,100,137.28,4.8,52,86.54%;,9.62%;,3.85%;,0%;,0%;,,,,,,,,,,
LPEPL1CC1P,100,117.24,4.9,45,91.11%;,6.67%;,2.22%;,0%;,0%;,Relación precio-calidad,4.9,Instalación,5,Calidad de los materiales,4.8,,,,
CBEMPS,100,163.58,4.5,15,73.33%;,6.67%;,20%;,0%;,0%;,Relación precio-calidad,4.6,Instalación,4.9,Calidad de los materiales,4.3,Resistencia,4.2,,
CDBBD7P,100,597.54,4.6,41,80.49%;,9.76%;,4.88%;,0%;,4.88%;,Calidad de la imagen,4.4,Calidad de las terminaciones,4.4,Relación precio-calidad,4.5,,,,
L11FWBFD,1000,166.52,4.8,269,90.71%;,5.58%;,1.86%;,0%;,1.86%;,,,,,,,,,,
APAN1NM,50,589.Nuevo  |  +50 vendidos,4.0,10,40%;,40%;,10%;,0%;,10%;,Relación precio-calidad,4.1,Facilidad de armado,4.8,Calidad de los materiales,3.2,,,,
RDDPDLCTA,100,422.51,4.8,41,90.24%;,7.32%;,0%;,0%;,2.44%;,Relación precio-calidad,4.8,Calidad de los materiales,4.8,,,,,,
1EAPCD,100,132.Nuevo  |  +100 vendidos,5.0,8,100%;,0%;,0%;,0%;,0%;,,,,,,,,,,
JDCE2AX2DL,1000,196.46,4.6,150,69.33%;,20.67%;,8%;,0%;,2%;,Relación precio-calidad,4.6,Instalación,4.8,Calidad de los materiales,4.3,Resistencia,4.2,,
S3CCMMPTI,100,730.80,4.8,17,88.24%;,5.88%;,5.88%;,0%;,0%;,Relación precio-calidad,4.4,Calidad de la imagen,4.5,Calidad de las terminaciones,4.5,,,,
4FAR2ADH,500,138.48,4.5,38,76.32%;,10.53%;,5.26%;,5.26%;,2.63%;,,,,,,,,,,
RJLSELLDCTL,100,799.Nuevo  |  +100 vendidos,4.8,23,91.3%;,4.35%;,0%;,0%;,4.35%;,Relación precio-calidad,4.9,Calidad de la iluminación,4.8,,,,,,
CDGPSD,100,122.04,4.6,34,79.41%;,8.82%;,8.82%;,0%;,2.94%;,Relación precio-calidad,4.6,Calidad de los materiales,4.2,Instalación,4.9,Resistencia,4.2,,
1PVTLFSADAC,100,149.Nuevo  |  +100 vendidos,4.9,41,90.24%;,9.76%;,0%;,0%;,0%;,Relación precio-calidad,5,Calidad de los materiales,5,Calidad de las terminaciones,5,,,,
MBÁMTCCMM,5,313.95,5.0,9,100%;,0%;,0%;,0%;,0%;,Relación precio-calidad,4.8,Calidad de la imagen,5,Calidad de las terminaciones,5,,,,
CDAPDLDAC,100,361.78,4.5,11,63.64%;,18.18%;,18.18%;,0%;,0%;,,,,,,,,,,
GDLLSI7T5L,500,117.36,4.6,36,80.56%;,8.33%;,8.33%;,0%;,2.78%;,,,,,,,,,,
CDTTPS,100,106.46,4.5,31,77.42%;,9.68%;,6.45%;,3.23%;,3.23%;,Relación precio-calidad,4.4,Instalación,4.6,Calidad de los materiales,4.3,Resistencia,4.2,,
RDEVDCDM,500,161.50,4.9,81,91.36%;,7.41%;,0%;,0%;,1.23%;,Relación precio-calidad,4.8,Calidad de los materiales,4.6,Facilidad de uso,4.7,Duración de la batería,4.5,,
MD3PCMH4P,100,149.76,4.6,14,71.43%;,14.29%;,14.29%;,0%;,0%;,Relación precio-calidad,4.7,Instalación,4.7,Calidad de las terminaciones,4.6,,,,
BDTAFDFAF,1000,69.30,4.5,158,70.25%;,16.46%;,8.86%;,1.27%;,3.16%;,,,,,,,,,,
TABB1M,1000,180.Nuevo  |  +1000 vendidos,4.2,132,62.88%;,15.15%;,7.58%;,4.55%;,9.85%;,Calidad de los materiales,3.8,Relación precio-calidad,4.1,Instalación,4,Practicidad,4.1,Calidad del ajuste,4
CDLMÁMT,25,343.17,5.0,8,100%;,0%;,0%;,0%;,0%;,Relación precio-calidad,4.8,Calidad de la imagen,4.6,Calidad de las terminaciones,4.6,,,,
CBATL1C1,1000,199.41,4.7,128,79.69%;,12.5%;,4.69%;,0.78%;,2.34%;,Relación precio-calidad,4.7,Instalación,4.9,Calidad de los materiales,4.7,Resistencia,4.6,,
CBCRPS,100,176.56,4.1,10,70%;,10%;,0%;,0%;,20%;,Relación precio-calidad,4.7,Calidad de los materiales,4.6,Resistencia,4.6,Instalación,4.7,,
6PCODTPCCT,100,229.Nuevo  |  +100 vendidos,5.0,15,100%;,0%;,0%;,0%;,0%;,,,,,,,,,,
S4CCTFDPMM,50,429.45,5.0,10,100%;,0%;,0%;,0%;,0%;,Relación precio-calidad,5,Calidad de la imagen,4.5,Calidad de las terminaciones,5,,,,
7MD3PCMH,1000,79.60,4.9,194,90.72%;,7.22%;,1.03%;,0.52%;,0.52%;,Instalación,4.9,Relación precio-calidad,4.9,Calidad de las terminaciones,4.8,,,,
GDLDEV2F7M,5mil,249.26,4.7,491,82.89%;,11.61%;,4.07%;,0%;,1.43%;,Relación precio-calidad,4.7,Calidad de la iluminación,4.7,,,,,,
5CFRADBF5,1000,108.Nuevo  |  +1000 vendidos,4.5,97,77.32%;,8.25%;,8.25%;,1.03%;,5.15%;,,,,,,,,,,
5LDGMFPLD,100,199.Nuevo  |  +100 vendidos,4.7,15,86.67%;,6.67%;,0%;,0%;,6.67%;,Relación precio-calidad,5,Calidad de la iluminación,5,,,,,,
RDFECLLRV,1000,166.18,4.9,89,92.13%;,3.37%;,4.49%;,0%;,0%;,,,,,,,,,,
PDH4FSW33P,500,"1,481.22",4.8,77,87.01%;,9.09%;,3.9%;,0%;,0%;,,,,,,,,,,
KDPDD5DPCP,100,94.99,4.9,22,90.91%;,9.09%;,0%;,0%;,0%;,Relación precio-calidad,4.8,Calidad de la imagen,4.9,Calidad de las terminaciones,4.8,,,,
1CDMMRF2,500,255.55,4.8,72,87.5%;,5.56%;,2.78%;,2.78%;,1.39%;,,,,,,,,,,
RECL,1000,187.64,4.8,137,84.67%;,10.95%;,2.92%;,0.73%;,0.73%;,,,,,,,,,,
LLSLPJE1F,100,198.03,4.7,19,84.21%;,5.26%;,10.53%;,0%;,0%;,Calidad de la iluminación,4.8,Relación precio-calidad,4.8,,,,,,
CDCZI1P,500,259.Nuevo  |  +500 vendidos,4.9,24,91.67%;,8.33%;,0%;,0%;,0%;,,,,,,,,,,
HB7BDG,100,65.Nuevo  |  +100 vendidos,4.7,29,86.21%;,6.9%;,0%;,0%;,6.9%;,,,,,,,,,,
1PWAFDBH,100,133.40,4.8,26,80.77%;,15.38%;,3.85%;,0%;,0%;,,,,,,,,,,
CPBIC1G1,5mil,79.Nuevo  |  +5mil vendidos,4.2,395,54.68%;,23.54%;,13.42%;,3.04%;,5.32%;,Relación precio-calidad,4.3,Practicidad,4.2,Facilidad al limpiar,4.1,Calidad de los materiales,3.7,,
CDVGNEKA6P,25,569.04,5.0,3,100%;,0%;,0%;,0%;,0%;,,,,,,,,,,
4PTDEDHA,50,148.35,4.5,6,66.67%;,16.67%;,16.67%;,0%;,0%;,,,,,,,,,,
SN5LLAV5MF,1000,468.33,4.5,58,77.59%;,5.17%;,8.62%;,5.17%;,3.45%;,Relación precio-calidad,4.2,Calidad de la iluminación,4.2,,,,,,
PCBPPOM,100,170.Nuevo  |  +100 vendidos,4.8,23,86.96%;,8.7%;,0%;,4.35%;,0%;,Relación precio-calidad,4.7,Instalación,4.7,Calidad de los materiales,4.5,,,,
6ADPADHJ,100,219.90,4.9,22,86.36%;,13.64%;,0%;,0%;,0%;,,,,,,,,,,
1WFA1DFB,500,145.40,4.9,38,92.11%;,5.26%;,2.63%;,0%;,0%;,,,,,,,,,,
ODLDPM+A,500,235.42,4.8,131,85.5%;,10.69%;,1.53%;,1.53%;,0.76%;,Relación precio-calidad,4.6,Instalación,4.7,Calidad de los materiales,4,,,,
LDHCPLDC221P,100,115.Nuevo  |  +100 vendidos,4.9,31,93.55%;,3.23%;,3.23%;,0%;,0%;,Relación precio-calidad,4.8,Calidad de la iluminación,4.8,,,,,,
3SPD433CC,500,"1,774.29",4.8,56,83.93%;,12.5%;,0%;,1.79%;,1.79%;,,,,,,,,,,
RAFGFGE,500,298.Nuevo  |  +500 vendidos,4.7,48,87.5%;,4.17%;,4.17%;,0%;,4.17%;,,,,,,,,,,
4SDPDD5CPD,100,229.46,4.9,10,90%;,10%;,0%;,0%;,0%;,Relación precio-calidad,5,Calidad de la imagen,5,Calidad de las terminaciones,5,,,,
1EAPCTG,100,129.85,4.4,17,82.35%;,0%;,5.88%;,0%;,11.76%;,,,,,,,,,,
CLCTYDED1C2P,100,378.74,4.6,54,85.19%;,3.7%;,3.7%;,0%;,7.41%;,Relación precio-calidad,4.8,Calidad de los materiales,4.7,Instalación,4.8,Resistencia,4.7,,
GDL2FDEIL,500,276.79,4.9,56,89.29%;,10.71%;,0%;,0%;,0%;,Relación precio-calidad,4.7,Calidad de la iluminación,4.6,,,,,,
CDRMP4E13,500,242.34,4.9,69,94.2%;,1.45%;,4.35%;,0%;,0%;,,,,,,,,,,
MPTP3,100,367.Nuevo  |  +100 vendidos,4.8,5,80%;,20%;,0%;,0%;,0%;,Relación precio-calidad,4.8,Calidad de la imagen,4.8,Calidad de las terminaciones,4.8,,,,
1GDFAD1MPD,100,121.34,4.8,14,85.71%;,7.14%;,7.14%;,0%;,0%;,,,,,,,,,,
FAW1BDF1,1000,119.70,4.9,114,92.11%;,6.14%;,0.88%;,0.88%;,0%;,,,,,,,,,,
CSLLECL8,50,220.Nuevo  |  +50 vendidos,5.0,9,100%;,0%;,0%;,0%;,0%;,Relación precio-calidad,4.3,Calidad de la iluminación,5,,,,,,
6PDFDARR,50,133.29,4.8,8,75%;,25%;,0%;,0%;,0%;,,,,,,,,,,
LNE5PDDPD,100,189.05,5.0,12,100%;,0%;,0%;,0%;,0%;,Relación precio-calidad,5,Calidad de la imagen,4.7,Calidad de las terminaciones,5,,,,
CB2PCE1,100,381.30,4.6,11,81.82%;,9.09%;,0%;,9.09%;,0%;,Relación precio-calidad,5,Instalación,5,Calidad de los materiales,4.7,Resistencia,4.6,,
RPMGFEACL,500,394.67,4.8,65,89.23%;,7.69%;,1.54%;,1.54%;,0%;,,,,,,,,,,
BDH7MPPDJ8B,1000,89.Nuevo  |  +1000 vendidos,4.8,95,88.42%;,8.42%;,2.11%;,0%;,1.05%;,,,,,,,,,,
K6CD1DMDN,100,213.12,4.8,39,82.05%;,12.82%;,5.13%;,0%;,0%;,,,,,,,,,,
PEPV3X4PU6C,100,148.15,4.3,31,64.52%;,16.13%;,6.45%;,6.45%;,6.45%;,Relación precio-calidad,4.5,Instalación,4.4,Calidad de las terminaciones,4.4,,,,
CVDGCF3ML,25,497.Nuevo  |  +25 vendidos,5.0,8,100%;,0%;,0%;,0%;,0%;,Relación precio-calidad,4.8,Calidad de la imagen,5,Calidad de las terminaciones,5,,,,
CDBDVPPB,100,196.Nuevo  |  +100 vendidos,2.7,9,22.22%;,11.11%;,22.22%;,0%;,44.44%;,Relación precio-calidad,3,Calidad de los materiales,3,Resistencia,3,,,,
DDDCDPDM7P,500,116.50,4.9,34,88.24%;,11.76%;,0%;,0%;,0%;,Instalación,4.8,Relación precio-calidad,4.8,Calidad de las terminaciones,4.8,,,,
SLALC5LLI7,500,153.89,4.6,82,84.15%;,6.1%;,3.66%;,2.44%;,3.66%;,,,,,,,,,,
2CDADRCTP,1000,175.33,4.6,398,73.37%;,16.83%;,7.04%;,1.26%;,1.51%;,,,,,,,,,,
CDTOPTD6P,25,569.04,4.7,9,77.78%;,11.11%;,11.11%;,0%;,0%;,Relación precio-calidad,4.8,Calidad de la imagen,4.3,Calidad de las terminaciones,4.5,,,,
PCSPST,100,91.74,4.4,12,66.67%;,16.67%;,8.33%;,8.33%;,0%;,Relación precio-calidad,4.5,Instalación,4.7,Calidad de los materiales,4.1,Resistencia,4,,
ADCCRADC7,100,349.Nuevo  |  +100 vendidos,4.8,23,86.96%;,8.7%;,4.35%;,0%;,0%;,,,,,,,,,,
CDPD5DPS,1000,216.89,4.8,113,84.07%;,12.39%;,2.65%;,0.88%;,0%;,Relación precio-calidad,4.8,Calidad de la imagen,4.7,Calidad de las terminaciones,4.7,,,,
BDAGPCPR3,500,169.46,4.4,110,63.64%;,14.55%;,17.27%;,2.73%;,1.82%;,,,,,,,,,,
7MDPP3C,1000,107.84,4.8,223,83.41%;,12.56%;,1.79%;,1.35%;,0.9%;,Relación precio-calidad,4.7,Calidad de las terminaciones,4.7,Instalación,4.7,,,,
GSLI75F8M,10mil,105.34,4.4,"1,828",66.47%;,15.7%;,9.08%;,3.88%;,4.87%;,,,,,,,,,,
PPEPVVA,1000,110.78,4.3,92,69.57%;,10.87%;,9.78%;,4.35%;,5.43%;,Relación precio-calidad,4.2,Instalación,4.2,Calidad de las terminaciones,4.1,,,,
S3CMBEMDM,100,721.35,4.9,38,89.47%;,10.53%;,0%;,0%;,0%;,Calidad de la imagen,4.7,Calidad de las terminaciones,4.7,Relación precio-calidad,4.7,,,,
DFRYSDLN,500,276.27,4.5,137,75.18%;,13.87%;,3.65%;,3.65%;,3.65%;,Relación precio-calidad,4.8,Facilidad de uso,4.6,Calidad de los materiales,4.7,Duración de la batería,4.6,,
2HBO7MD,5mil,69.96,4.5,289,77.85%;,9%;,6.23%;,2.08%;,4.84%;,,,,,,,,,,
KPHVA,500,489.70,4.9,91,89.01%;,8.79%;,1.1%;,1.1%;,0%;,Relación precio-calidad,4.7,Calidad de los materiales,4.8,Calidad de las terminaciones,4.8,,,,
SCPBPAGN,500,149.Nuevo  |  +500 vendidos,4.6,64,78.12%;,14.06%;,4.69%;,0%;,3.12%;,Relación precio-calidad,4.5,Calidad de los materiales,4.5,Calidad del ajuste,4.3,Instalación,4.6,Practicidad,4.6
SD5PPMDM,100,253.30,5.0,6,100%;,0%;,0%;,0%;,0%;,,,,,,,,,,
CSL6LD6C8M,1000,148.50,4.6,89,78.65%;,12.36%;,4.49%;,1.12%;,3.37%;,Relación precio-calidad,4.5,Calidad de la iluminación,4.5,,,,,,
4P5DDPDID,100,218.26,4.9,52,88.46%;,9.62%;,1.92%;,0%;,0%;,Relación precio-calidad,4.7,Calidad de la imagen,4.6,Calidad de las terminaciones,4.7,,,,
RDLCPYTYH,100,146.46,4.3,26,69.23%;,11.54%;,7.69%;,3.85%;,7.69%;,Relación precio-calidad,3.7,Facilidad de uso,3.3,Calidad de los materiales,3.2,Duración de la batería,3.3,,
3RDFDSDPAFB,100,194.74,5.0,7,100%;,0%;,0%;,0%;,0%;,,,,,,,,,,
FAW11FH,100,199.Nuevo  |  +100 vendidos,4.9,16,93.75%;,6.25%;,0%;,0%;,0%;,,,,,,,,,,
GDLEA2B1M,100,262.59,4.8,18,83.33%;,16.67%;,0%;,0%;,0%;,,,,,,,,,,
BCBE7A1A,1000,143.Nuevo  |  +1000 vendidos,4.4,238,69.75%;,15.97%;,6.72%;,2.1%;,5.46%;,Calidad del ajuste,4.3,Instalación,4.2,Calidad de los materiales,4.3,Practicidad,4.3,Relación precio-calidad,4.6
CDBPPVBL,1000,169.29,4.3,308,66.88%;,15.26%;,7.14%;,3.9%;,6.82%;,Relación precio-calidad,4.3,Resistencia,4,Instalación,4.6,Calidad de los materiales,4,,
CDRGCT,50,209.Nuevo  |  +50 vendidos,5.0,11,100%;,0%;,0%;,0%;,0%;,Relación precio-calidad,5,Calidad de la imagen,5,Calidad de las terminaciones,5,,,,
CEBO1CS1,1000,146.27,4.8,176,88.07%;,7.95%;,1.7%;,0%;,2.27%;,Relación precio-calidad,4.8,Calidad de los materiales,4.7,Instalación,4.9,Resistencia,4.6,,
AIDL2PA,1000,120.Nuevo  |  +1000 vendidos,4.7,68,79.41%;,14.71%;,4.41%;,1.47%;,0%;,Relación precio-calidad,4.5,Instalación,4.4,Calidad de los materiales,4,,,,
"CDADRPNT,P",100,283.10,4.8,28,82.14%;,10.71%;,7.14%;,0%;,0%;,,,,,,,,,,
FAD8DVCC,100,243.90,4.5,12,66.67%;,25%;,0%;,8.33%;,0%;,,,,,,,,,,
GDL2FELI1,1000,974.90,4.9,172,93.6%;,4.07%;,0%;,0%;,2.33%;,Relación precio-calidad,4.7,Calidad de la iluminación,4.8,,,,,,
CDSTATDU,100,199.Nuevo  |  +100 vendidos,4.7,15,93.33%;,0%;,0%;,0%;,6.67%;,Relación precio-calidad,4.7,Calidad de la imagen,4.5,Calidad de las terminaciones,5,,,,
CODTPCCTP,500,229.Nuevo  |  +500 vendidos,4.7,92,79.35%;,10.87%;,7.61%;,1.09%;,1.09%;,,,,,,,,,,
VPMECDMD,1000,97.50,4.2,54,62.96%;,11.11%;,11.11%;,9.26%;,5.56%;,Relación precio-calidad,4.5,Calidad de los materiales,4.1,,,,,,
CDMCFDAFDM1U,100,249.Nuevo  |  +100 vendidos,5.0,5,100%;,0%;,0%;,0%;,0%;,,,,,,,,,,
GDL3EV5FJ,100,649.12,4.8,28,82.14%;,10.71%;,7.14%;,0%;,0%;,Relación precio-calidad,4.8,Calidad de la iluminación,4.7,,,,,,
DPDDHCE4P,1000,225.50,4.9,142,94.37%;,4.23%;,0.7%;,0.7%;,0%;,Relación precio-calidad,4.8,Calidad de la imagen,4.8,Calidad de las terminaciones,4.8,,,,
1PAMDRR,500,207.72,4.6,39,71.79%;,23.08%;,2.56%;,2.56%;,0%;,,,,,,,,,,
BDHF(BB,100,199.98,4.7,18,66.67%;,33.33%;,0%;,0%;,0%;,,,,,,,,,,
TAYDB3P,100,228.49,4.7,15,73.33%;,20%;,6.67%;,0%;,0%;,,,,,,,,,,
FACLH,1000,83.09,4.3,102,62.75%;,18.63%;,7.84%;,4.9%;,5.88%;,,,,,,,,,,
GDL2FDEVI,100,197.50,4.1,16,56.25%;,18.75%;,6.25%;,12.5%;,6.25%;,,,,,,,,,,
